id;productId;available;name;category;subcategory;fabric;price;badge;occasion;img;img2;img3;img4;desc;created_at;updated_at
23;DCR-001;0;Festival Diya;decor;diyas;Diya;350;Festive;festive;../Images/Decorative handcrafts/Diya.webp;;;;Hand-crafted festive diya.;15/06/2026 06:40;15/06/2026 06:40
24;DCR-002;0;Festive Gift Box;decor;gifting;Gift Set;1200;Gift;festive;../Images/Decorative handcrafts/Diya.webp;;;;A curated festive gift box.;15/06/2026 06:40;15/06/2026 06:40
18;JWL-001;1;Heart of Gold Necklace;jewellery;necklace-sets;Necklace Set;1200;Bestseller;festive;../Images/Imitation jewels/Heartin on Saree.jpeg;;;;Golden hearts in a delicate setting.;15/06/2026 06:40;15/06/2026 06:40
19;JWL-002;1;Stone Elegance Necklace;jewellery;necklace-sets;Necklace Set;1600;New;bridal;../Images/Imitation jewels/Heartin stones .jpeg;;;;Richly embellished with hand-set stones.;15/06/2026 06:40;15/06/2026 06:40
20;JWL-005;1;Geometric Temple Set;jewellery;full-sets;Full Set;2200;Trending;wedding;../Images/Imitation jewels/Squares.jpeg;;;;Bold geometric forms meet temple jewellery.;15/06/2026 06:40;15/06/2026 06:40
21;JWL-006;1;Royal Bridal Grand Set;jewellery;bridal;Bridal Set;3500;Bridal;bridal;../Images/Imitation jewels/WhatsApp Image 2026-03-04 at 19.29.31.jpeg;;;;A complete bridal jewellery ensemble.;15/06/2026 06:40;15/06/2026 06:40
22;JWL-007;1;Bridal Stone Set;jewellery;bridal;Bridal Set;2800;New;bridal;../Images/Imitation jewels/Heartin stones .jpeg;;;;A dazzling stone-studded bridal set.;15/06/2026 06:40;15/06/2026 06:40
1;SAR-015;1;Royal blue soft silk saree;sarees;soft-silk;Soft Silk;1899;Trending;festive;/Images/SareeImages/SAR-015_pose1.jpg;/Images/SareeImages/SAR-015_pose2.jpg;/Images/SareeImages/SAR-015_pose3.jpg;/Images/SareeImages/SAR-015_pose4.jpg;Royal blue soft silk saree with contrast magenta zari border, elegant peacock motifs, and handcrafted tassels. A striking choice for festive wear, weddings, and special occasions.;15/06/2026 06:40;15/06/2026 06:40
2;SAR-016;1;Elegant steel-grey saree;sarees;soft-silk;Soft Silk;1699;Bestseller;festive;/Images/SareeImages/SAR-016_pose1.jpg;/Images/SareeImages/SAR-016_pose2.jpg;/Images/SareeImages/SAR-016_pose3.jpg;/Images/SareeImages/SAR-016_pose4.jpg;Premium grey soft silk saree featuring subtle gold-silver zari motifs, complemented by a luxurious maroon zari-rich border and pallu. Comes with a matching maroon blouse piece. Perfect for weddings, festive celebrations, and elegant evening wear.;15/06/2026 06:40;15/06/2026 06:40
3;SAR-017;1;Elegant Lime Green Silk Saree;sarees;soft-silk;Soft Silk;1799;New;festive;/Images/SareeImages/SAR-017_pose1.jpg;/Images/SareeImages/SAR-017_pose2.jpg;/Images/SareeImages/SAR-017_pose3.jpg;/Images/SareeImages/SAR-017_pose4.jpg;Premium lime green soft silk saree featuring elegant silver zari peacock motifs and a luxurious deep maroon zari-woven pallu. A graceful blend of vibrant color and timeless tradition, perfect for festive and wedding wear.;15/06/2026 06:40;15/06/2026 06:40
4;SAR-018;1;Elegant Pastel Blue Silk Saree;sarees;soft-silk;Soft Silk;1899;Heritage;festive;/Images/SareeImages/SAR-018_pose1.jpg;/Images/SareeImages/SAR-018_pose2.jpg;/Images/SareeImages/SAR-018_pose3.jpg;/Images/SareeImages/SAR-018_pose4.jpg;Soft pastel blue  soft silk saree adorned with delicate silver zari floral motifs, paired with a stunning royal blue zari-woven pallu. A graceful blend of subtle elegance and rich tradition, perfect for festive occasions and special celebrations.;15/06/2026 06:40;15/06/2026 06:40
5;SAR-019;1;Graceful Dual-Tone Silk Saree;sarees;soft-silk;Soft Silk;1799;Editor's Pick;festive;/Images/SareeImages/SAR-019_pose1.jpg;/Images/SareeImages/SAR-019_pose2.jpg;/Images/SareeImages/SAR-019_pose3.jpg;/Images/SareeImages/SAR-019_pose4.jpg;Rich deep wine-maroon silk saree adorned with delicate zari buttas, beautifully complemented by a pastel mint-green zari-woven pallu featuring intricate traditional patterns. A timeless combination of elegance and sophistication, perfect for festive occasions and celebrations.;15/06/2026 06:40;15/06/2026 06:40
6;SAR-020;1;Royal Blue & Rani Pink Soft  Silk Saree with Gold Zari Weaving;sarees;soft-silk;Soft Silk;1899;Heritage;festive;/Images/SareeImages/SAR-020_pose1.jpg;/Images/SareeImages/SAR-020_pose2.jpg;/Images/SareeImages/SAR-020_pose3.jpg;;Elegant soft silk saree featuring a vibrant turquoise blue body embellished with delicate gold buttas, beautifully contrasted by a rich rani pink pallu with luxurious gold zari weaving. A timeless ethnic masterpiece, perfect for weddings, festive occasions, and special celebrations.;15/06/2026 06:40;15/06/2026 06:40
7;SAR-021;1;Rust Orange & Deep Plum Soft Silk Saree with Antique Gold Zari Work;sarees;soft-silk;Soft Silk;1250;New;festive;/Images/SareeImages/SAR-021_pose1.jpg;/Images/SareeImages/SAR-021_pose2.jpg;/Images/SareeImages/SAR-021_pose3.jpg;/Images/SareeImages/SAR-021_pose4.jpg;Elegant soft silk saree featuring a radiant rust orange body paired with a rich deep plum pallu, beautifully enhanced with intricate antique gold zari borders and traditional woven motifs. A graceful blend of classic charm and festive elegance, perfect for weddings, celebrations, and special occasions.;15/06/2026 06:40;15/06/2026 06:40
8;SAR-022;1;Royal Purple & Teal Green Soft Silk Saree with Rich Zari Border;sarees;soft-silk;Soft Silk;1899;Editor's Pick;festive;/Images/SareeImages/SAR-022_pose1.jpg;/Images/SareeImages/SAR-022_pose2.jpg;/Images/SareeImages/SAR-022_pose3.jpg;/Images/SareeImages/SAR-022_pose4.jpg;Exquisite soft silk saree featuring a regal purple body adorned with delicate zari buttas, complemented by a contrasting teal green pallu with intricate floral zari weaving. Finished with a grand antique gold zari border, this elegant drape is perfect for weddings, festive occasions, and traditional celebrations.;15/06/2026 06:40;15/06/2026 06:40
9;SAR-023;1;Vibrant Dual-Tone Pink Silk-Blend Saree with Paisley Motifs;sarees;soft-silk;Soft Silk;1250;New;festive;/Images/SareeImages/SAR-023_pose1.jpg;/Images/SareeImages/SAR-023_pose2.jpg;/Images/SareeImages/SAR-023_pose3.jpg;/Images/SareeImages/SAR-023_pose4.jpg;Elegant silk-blend saree featuring a radiant dual-tone pink body. This piece is distinguished by delicate, tone-on-tone woven paisley motifs throughout the fabric, offering a refined and subtle texture. Its sleek, lustrous finish makes it a sophisticated choice for weddings, festive occasions, and traditional celebrations.;15/06/2026 06:40;15/06/2026 06:40
10;SAR-024;1;Elegant Crimson Maroon Soft Silk Saree with Antique Zari Motifs;sarees;soft-silk;Soft Silk;1199;Trending;festive;/Images/SareeImages/SAR-024_pose1.jpg;/Images/SareeImages/SAR-024_pose2.jpg;/Images/SareeImages/SAR-024_pose3.jpg;/Images/SareeImages/SAR-024_pose4.jpg;Soft silk saree featuring a rich crimson-maroon body with a smooth, radiant sheen. This piece is distinguished by elegantly spaced, diamond-shaped butas intricately woven with antique zari and traditional paisley motifs. Its heavily detailed geometric lattice pallu, finished with delicate hand-tied dark tassels, makes it a refined choice for festive gatherings, weddings, and evening celebrations.;15/06/2026 06:40;15/06/2026 06:40
11;SAR-025;1;Vibrant Mustard Yellow and Rani Pink Soft Silk Saree with Golden Zari;sarees;soft-silk;Soft Silk;1899;Curated;festive;/Images/SareeImages/SAR-025_pose1.jpg;/Images/SareeImages/SAR-025_pose2.jpg;/Images/SareeImages/SAR-025_pose3.jpg;/Images/SareeImages/SAR-025_pose4.jpg;Stunning soft silk saree showcasing a bold contrast of a radiant mustard yellow body and a striking rani pink pleat and pallu section. The golden-yellow body is intricately dotted with delicate, shimmering floral butis, framed beautifully by a wide, lustrous golden zari border. This vibrant color combination and rich texture make it a magnificent and festive choice for weddings, traditional celebrations, and grand occasions.;15/06/2026 06:40;15/06/2026 06:40
12;SAR-026;1;Elegant Olive Green and Deep Magenta Dual-Tone Soft Silk Saree with Golden Zari;sarees;soft-silk;Soft Silk;1899;Everyday;festive;/Images/SareeImages/SAR-026_pose1.jpg;/Images/SareeImages/SAR-026_pose2.jpg;/Images/SareeImages/SAR-026_pose3.jpg;/Images/SareeImages/SAR-026_pose4.jpg;Stunning soft silk saree showcasing a rich contrast of an olive/mehendi green body and a striking deep magenta-wine pallu and border section. The earthy green body is intricately dotted with delicate, shimmering golden zari buttas, framed beautifully by a wide, lustrous golden zari border. This sophisticated color combination and luxurious sheen make it a magnificent and festive choice for weddings, traditional celebrations, and grand occasions.;15/06/2026 06:40;15/06/2026 06:40
13;SAR-028;1;Elegant Powder Blue and Deep Magenta Dual-Tone Fancy Silk Saree with Lotus Motifs;sarees;Fancy Silk;Fancy Silk;1199;Sustainable;casual;/Images/SareeImages/SAR-028_pose1.jpg;/Images/SareeImages/SAR-028_pose2.jpg;;/Images/SareeImages/SAR-028_pose4.jpg;Stunning fancy silk saree showcasing a rich contrast of a light powder blue body and a striking deep pink/magenta pallu section. The serene blue body is delicately adorned with minimalist, vibrant pink lotus motifs, flowing seamlessly into the wide, lustrous magenta pallu that features a subtle, traditional weave. Designed for a lightweight drape and a modern boutique look, this sophisticated color combination and elegant contrast make it a highly graceful and festive choice for special occasions.;15/06/2026 06:40;15/06/2026 06:40
14;SAR-029;1;Vibrant Parrot Green and Peacock Blue Dual-Tone Fancy Silk Saree with Silver Zari;sarees;Fancy Silk;Fancy Silk;1199;Sustainable;casual;/Images/SareeImages/SAR-029_pose1.jpg;/Images/SareeImages/SAR-029_pose2.jpg;/Images/SareeImages/SAR-029_pose3.jpg;/Images/SareeImages/SAR-029_pose4.jpg;Stunning fancy silk saree showcasing a lively contrast of a bright parrot green body and a striking peacock blue pallu and border section. The radiant green body features horizontal self-stripes and elegant blue floral block prints, beautifully anchored by a wide, intricately woven silver zari border. This vibrant color combination, paired with a rich metallic sheen and a lightweight, fluid drape, makes it a magnificent and festive choice for weddings, traditional celebrations, and special occasions.;15/06/2026 06:40;15/06/2026 06:40
15;SAR-030;1;Striking Deep Pink and Metallic Silver Dual-Tone Fancy Silk Saree with Geometric Motifs;sarees;Fancy Silk;Fancy Silk;1199;Sustainable;casual;/Images/SareeImages/SAR-030_pose1.jpg;/Images/SareeImages/SAR-030_pose2.jpg;/Images/SareeImages/SAR-030_pose3.jpg;/Images/SareeImages/SAR-030_pose4.jpg;Stunning fancy silk saree showcasing a bold contrast of a vibrant deep pink body and a brilliant metallic silver pallu section. The rich pink body is beautifully punctuated with large silver motifs, transitioning into a dramatic silver pallu adorned with an eye-catching pattern of pink geometric diamond checks. Combining a contemporary, high-contrast palette with a lightweight and lustrous drape, this saree makes a glamorous and sophisticated statement for festive celebrations, parties, and special occasions.;15/06/2026 06:40;15/06/2026 06:40
16;SAR-032;1;Crimson Red Maheshwari Silk Cotton Saree with Elegant Gold Zari Butis;sarees;Maheswari Silk Cotton;Silk Cotton;1350;Sustainable;casual;/Images/SareeImages/SAR-032_pose1.jpeg;/Images/SareeImages/SAR-032_pose2.jpeg;/Images/SareeImages/SAR-032_pose3.jpeg;/Images/SareeImages/SAR-032_pose4.jpeg;Stunning Maheshwari silk cotton saree showcasing a rich, vibrant crimson red body paired with a sophisticated golden zari border. The lightweight, lustrous fabric blend—inherent to classic Maheshwari weaves—is beautifully punctuated with finely woven gold butis (floral motifs) scattered across the body. The drape transitions into a graceful pallu accented with clean metallic gold bands and finished with traditional black thread tassels. Seamlessly combining a timeless festive color palette with an airy, breathable comfort, this saree makes a sophisticated and elegant statement for weddings, cultural festivals, and special occasions.;15/06/2026 06:40;15/06/2026 06:40
17;SAR-031;1;Exquisite Deep Magenta and Midnight Blue Contrast Soft Silk Saree with Elegant Leaf Motifs;sarees;soft-silk;Soft Silk;1699;Sustainable;festive;/Images/SareeImages/SAR-031_pose1.jpeg;/Images/SareeImages/SAR-031_pose2.jpeg;/Images/SareeImages/SAR-031_pose3.jpeg;/Images/SareeImages/SAR-031_pose4.jpeg;Stunning soft silk saree showcasing a rich contrast of a vibrant deep magenta-pink body and a deep midnight blue border and pallu section. The lustrous magenta body is beautifully punctuated with artistic golden leaf motifs, transitioning into a dramatic midnight blue pallu that is heavily adorned with an intricate, shimmering golden geometric pattern. Combining a royal, high-contrast color palette with a buttery-soft, lightweight drape and finished with neat thread tassels, this saree makes a glamorous and sophisticated statement for weddings, festive celebrations, and special occasions.;15/06/2026 06:40;15/06/2026 06:40
18;SAR-033;1;Elegant Orange Maheshwari Silk Cotton Saree with Delicate Buti Weaves;sarees;Maheswari Silk Cotton;Silk Cotton;1350;Curated;casual;/Images/SareeImages/SAR-033_pose1.jpeg;/Images/SareeImages/SAR-033_pose2.jpeg;/Images/SareeImages/SAR-033_pose3.jpeg;/Images/SareeImages/SAR-033_pose3.jpeg;Gracefully crafted in a vibrant orange hue, this Maheshwari silk cotton saree features delicate woven buti motifs and a subtle zari border that exudes timeless elegance. Lightweight, breathable, and effortlessly stylish, it is perfect for festive occasions, cultural gatherings, and special celebrations.;26/06/2026 19:07;26/06/2026 19:07
19;SAR-034;1;Graceful Olive Green Maheshwari Silk Cotton Saree with Zari Border;sarees;Maheswari Silk Cotton;Silk Cotton;1350;Curated;casual;/Images/SareeImages/SAR-034_pose1.jpeg;/Images/SareeImages/SAR-034_pose2.jpeg;/Images/SareeImages/SAR-034_pose3.jpeg;/Images/SareeImages/SAR-034_pose3.jpeg;Crafted in a soothing olive green shade, this Maheshwari silk cotton saree features elegant woven buti motifs and a refined zari border. Lightweight and comfortable, it beautifully blends traditional craftsmanship with understated elegance, making it an ideal choice for festive occasions and cultural celebrations.;26/06/2026 19:07;26/06/2026 19:07
20;SAR-035;1;Charming Pink & Sky Blue Maheshwari Silk Cotton Saree;sarees;Maheswari Silk Cotton;Silk Cotton;1350;Curated;casual;/Images/SareeImages/SAR-035_pose1.jpeg;/Images/SareeImages/SAR-035_pose2.jpeg;/Images/SareeImages/SAR-035_pose3.jpeg;/Images/SareeImages/SAR-035_pose3.jpeg;A beautiful blend of vibrant pink and soothing sky blue, this Maheshwari silk cotton saree is adorned with delicate woven buti motifs and elegant zari borders. Lightweight and graceful, it offers a perfect balance of tradition and contemporary charm, making it ideal for festive occasions and special gatherings.;26/06/2026 19:07;26/06/2026 19:07
21;SAR-036;1;Elegant Beige & Black Maheshwari Silk Cotton Saree;sarees;Maheswari Silk Cotton;Silk Cotton;1350;Curated;casual;/Images/SareeImages/SAR-036_pose1.jpeg;/Images/SareeImages/SAR-036_pose2.jpeg;/Images/SareeImages/SAR-036_pose3.jpeg;/Images/SareeImages/SAR-036_pose3.jpeg;A timeless combination of elegant beige and classic black, this Maheshwari silk cotton saree features delicate woven buti motifs and rich zari borders. Lightweight and graceful, it beautifully blends traditional artistry with refined sophistication, making it a perfect choice for festive occasions and special gatherings.;26/06/2026 19:07;26/06/2026 19:07
22;SAR-037;1;Bright Yellow & Grey Maheshwari Silk Cotton Saree;sarees;Maheswari Silk Cotton;Silk Cotton;1350;Curated;casual;/Images/SareeImages/SAR-037_pose1.jpeg;/Images/SareeImages/SAR-037_pose2.jpeg;/Images/SareeImages/SAR-037_pose3.jpeg;/Images/SareeImages/SAR-037_pose3.jpeg;A stunning blend of vibrant yellow and elegant grey, this Maheshwari silk cotton saree features delicate woven buti motifs, refined zari borders, and a graceful contrasting pallu. Lightweight and sophisticated, it beautifully combines traditional craftsmanship with contemporary charm, making it perfect for festive occasions and special gatherings.;26/06/2026 19:07;26/06/2026 19:07
23;SAR-038;1;Vibrant Pink & Sky Blue Maheshwari Silk Cotton Saree;sarees;Maheswari Silk Cotton;Silk Cotton;1350;Curated;casual;/Images/SareeImages/SAR-038_pose1.jpeg;/Images/SareeImages/SAR-038_pose2.jpeg;/Images/SareeImages/SAR-038_pose3.jpeg;/Images/SareeImages/SAR-038_pose3.jpeg;A captivating blend of vibrant pink and serene sky blue, this Maheshwari silk cotton saree is adorned with delicate gold buti motifs and elegant zari borders. Lightweight and graceful, it effortlessly combines traditional artistry with timeless charm, making it a perfect choice for festive celebrations and special occasions.;26/06/2026 19:07;26/06/2026 19:07
24;SAR-039;1;Elegant Pink & Sage Green Bamboo Silk Cotton Saree;sarees;Bamboo Silk cotton;Silk Cotton;1650;New;casual;/Images/SareeImages/SAR-039_pose1.jpeg;/Images/SareeImages/SAR-039_pose2.jpeg;/Images/SareeImages/SAR-039_pose3.jpeg;/Images/SareeImages/SAR-039_pose3.jpeg;Crafted in a refreshing sky blue shade, this Chettinad cotton saree features elegant striped detailing and a richly woven broad zari border with traditional motifs. Lightweight, breathable, and timeless in appeal, it is perfect for festive occasions, cultural gatherings, and everyday traditional elegance.;26/06/2026 19:07;26/06/2026 19:07
25;SAR-040;1;Traditional Sky Blue Chettinad Cotton Saree with Broad Zari Border;sarees;Chettinad Cotton;Linen cotton;1550;Curated;casual;/Images/SareeImages/SAR-040_pose1.jpeg;/Images/SareeImages/SAR-040_pose2.jpeg;/Images/SareeImages/SAR-040_pose3.jpeg;/Images/SareeImages/SAR-040_pose3.jpeg;Gracefully woven in a soft rose pink shade, this Chettinad cotton saree features delicate striped detailing and a richly crafted magenta zari pallu with traditional motifs. Lightweight, breathable, and timelessly elegant, it is perfect for festive occasions, cultural celebrations, and graceful everyday wear.;26/06/2026 19:07;26/06/2026 19:07
26;SAR-041;1;Traditional Sky Blue Chettinad Cotton Saree with Broad Zari Border;sarees;Chettinad Cotton;Linen cotton;1550;Curated;casual;/Images/SareeImages/SAR-041_pose1.jpeg;/Images/SareeImages/SAR-041_pose2.jpeg;/Images/SareeImages/SAR-041_pose3.jpeg;/Images/SareeImages/SAR-041_pose3.jpeg;Soft, breathable, and effortlessly graceful, this mulmul cotton saree features a beautiful mauve handblock-inspired print across the body, complemented by a contrasting patterned pallu and decorative borders. Lightweight and comfortable, it is perfect for everyday elegance, casual outings, and cultural gatherings.;26/06/2026 19:07;26/06/2026 19:07
27;SAR-042;1;Elegant Mauve Handblock Print Mulmul Cotton Saree;sarees;Mul-mul cotton;Linen cotton;999;New;casual;/Images/SareeImages/SAR-042_pose1.jpeg;/Images/SareeImages/SAR-042_pose2.jpeg;/Images/SareeImages/SAR-042_pose3.jpeg;/Images/SareeImages/SAR-042_pose3.jpeg;A graceful blend of vibrant pink and soothing sage green, this bamboo silk cotton saree features delicate woven motifs on the body, a richly crafted zari pallu with intricate patterns, and a coordinated contrast blouse piece. Soft, lightweight, and effortlessly elegant, it is perfect for festive occasions, celebrations, and special gatherings.;26/06/2026 19:07;26/06/2026 19:07
28;SAR-043;1;Blush Peach Pochampally Silk Saree with Rani Pink Zari Border;sarees;Pochampally Ikat;Soft Silk;1850;Heritage;festive;/Images/SareeImages/SAR-043_pose1.jpeg;/Images/SareeImages/SAR-043_pose2.jpeg;/Images/SareeImages/SAR-043_pose3.jpeg;/Images/SareeImages/SAR-043_pose3.jpeg;Graceful Pochampally silk saree in a soft blush peach hue, featuring elegant Ikat-inspired floral vine motifs in rich green, maroon, and golden shades. Enhanced with a vibrant rani pink border and intricate zari weaving, this saree showcases the timeless artistry of Pochampally craftsmanship. A perfect choice for festive celebrations, weddings, and special occasions;26/06/2026 19:07;26/06/2026 19:07
29;SAR-044;1;Mint Green Pochampally Silk Saree with Royal Purple Zari Border;sarees;Pochampally Ikat;Soft Silk;1850;Heritage;festive;/Images/SareeImages/SAR-044_pose1.jpeg;/Images/SareeImages/SAR-044_pose2.jpeg;/Images/SareeImages/SAR-044_pose3.jpeg;/Images/SareeImages/SAR-044_pose3.jpeg;Elegant Pochampally silk saree in a refreshing mint green shade, adorned with artistic Ikat-inspired floral vine motifs in vibrant green, yellow, and mauve tones. The rich royal purple border with intricate gold zari weaving adds a regal touch, making it a perfect choice for festive occasions, weddings, and traditional celebrations.;26/06/2026 19:07;26/06/2026 19:07
30;SAR-045;1;Magenta Silk Cotton Saree with Grand Gold Zari Border;sarees;Silk Cotton;Silk Cotton;1950;Heritage;festive;/Images/SareeImages/SAR-045_pose1.jpeg;/Images/SareeImages/SAR-045_pose2.jpeg;/Images/SareeImages/SAR-045_pose3.jpeg;/Images/SareeImages/SAR-045_pose3.jpeg;"Elegant silk cotton saree in a rich magenta hue, featuring a striking broad gold zari border and a beautifully woven zari pallu with intricate floral motifs. The luxurious sheen, traditional craftsmanship, and contrast tassel finish make it a perfect choice for weddings, festive occasions, and special celebrations.

Highlights:
* Silk Cotton Saree
* Rich Magenta Color
* Broad Gold Zari Border
* Intricately Woven Zari Pallu
* Elegant Tassel Finish
* Ideal for Festive & Traditional Wear";26/06/2026 19:07;26/06/2026 19:07
31;SAR-046;1;Royal Purple Silk Cotton Saree with Rich Gold Zari Border;sarees;Silk Cotton;Silk Cotton;1950;Heritage;festive;/Images/SareeImages/SAR-046_pose1.jpeg;/Images/SareeImages/SAR-046_pose2.jpeg;/Images/SareeImages/SAR-046_pose3.jpeg;/Images/SareeImages/SAR-046_pose3.jpeg;"Graceful silk cotton saree in a regal royal purple shade, featuring an elegant gold zari woven border and a richly designed floral zari pallu. The luxurious texture, traditional motifs, and shimmering zari craftsmanship make it a perfect pick for festive celebrations, weddings, and special occasions. 

Highlights:
* Silk Cotton Saree
* Royal Purple Color
* Rich Gold Zari Border
* Intricately Woven Floral Zari Pallu
* Elegant Tassel Finish
* Ideal for Festive & Traditional Wear";26/06/2026 19:07;26/06/2026 19:07
32;SAR-047;1;Mustard Yellow Silk Cotton Saree with Rich Gold Zari Border;sarees;Silk Cotton;Silk Cotton;1950;Heritage;festive;/Images/SareeImages/SAR-047_pose1.jpeg;/Images/SareeImages/SAR-047_pose2.jpeg;/Images/SareeImages/SAR-047_pose3.jpeg;/Images/SareeImages/SAR-047_pose3.jpeg;"Elegant silk cotton saree in a vibrant mustard yellow shade, featuring a beautifully woven gold zari border and an intricately crafted zari pallu. The graceful sheen, traditional motifs, and luxurious finish make it a perfect choice for festive celebrations, weddings, and special occasions. 

Highlights:
* Silk Cotton Saree
* Mustard Yellow Color
* Rich Gold Zari Border
* Intricately Woven Zari Pallu
* Elegant Tassel Finish
* Ideal for Festive & Traditional Wear";26/06/2026 19:07;26/06/2026 19:07
